Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.34      0.03     0.03  2097152     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
 22.23      0.05     0.02  2097280     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
 11.11      0.06     0.01  4194820     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
 11.11      0.07     0.01      128     0.08     0.55  std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::difference_type std::__count_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>)
 11.11      0.08     0.01        2     5.00     5.00  std::ostream& Eigen::internal::print_matrix<Eigen::Array<int, -1, -1, 0, -1, -1> >(std::ostream&, Eigen::Array<int, -1, -1, 0, -1, -1> const&, Eigen::IOFormat const&)
 11.11      0.09     0.01                             int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.09     0.00  2097408     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.09     0.00  2097406     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.09     0.00  1090390     0.00     0.00  Eigen::EigenBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::derived() const
  0.00      0.09     0.00   604482     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::rows() const
  0.00      0.09     0.00   538946     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.09     0.00   505357     0.00     0.00  Eigen::EigenBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.09     0.00   342589     0.00     0.00  Eigen::internal::plainobjectbase_evaluator_data<int, -1>::outerStride() const
  0.00      0.09     0.00   293450     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::data() const
  0.00      0.09     0.00   277444     0.00     0.00  Eigen::DenseBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::innerSize() const
  0.00      0.09     0.00   261377     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::cols() const
  0.00      0.09     0.00   261377     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.09     0.00   228300     0.00     0.00  Eigen::EigenBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.09     0.00   227914     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::data() const
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Array<int, -1, -1, 0, -1, -1> >::evaluator_base()
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Array<int, -1, -1, 0, -1, -1> >::~evaluator_base()
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::plainobjectbase_evaluator_data<int, -1>::plainobjectbase_evaluator_data(int const*, long)
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> > const&)
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >::evaluator(Eigen::Array<int, -1, -1, 0, -1, -1> const&)
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >::~evaluator()
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Array<int, -1, -1, 0, -1, -1>, 3>::outerStride() const
  0.00      0.09     0.00   227908     0.00     0.00  Eigen::Array<int, -1, -1, 0, -1, -1>::outerStride() const
